43,0000101011
960,1111000000
816,1100110000
676,1010100100
165,0010100101
610,1001100010
534,1000010110
99,0001100011
650,1010001010
29,0000011101
523,1000001011
404,0110010100
464,0111010000
195,0011000011
306,0100110010
178,0010110010
297,0100101001
54,0000110110
267,0100001011
586,1001001010
147,0010010011
533,1000010101
788,1100010100
270,0100001110
216,0011011000
142,0010001110
904,1110001000
77,0001001101
616,1001101000
579,1001000011
139,0010001011
210,0011010010
225,0011100001
312,0100111000
836,1101000100
51,0000110011
804,1100100100
581,1001000101
356,0101100100
53,0000110101
92,0001011100
432,0110110000
149,0010010101
600,1001011000
201,0011001001
305,0100110001
212,0011010100
337,0101010001
275,0100010011
525,1000001101
75,0001001011
387,0110000011
23,0000010111
553,1000101001
226,0011100010
549,1000100101
801,1100100001
368,0101110000
106,0001101010
609,1001100001
652,1010001100
736,1011100000
86,0001010110
786,1100010010
30,0000011110
332,0101001100
660,1010010100
643,1010000011
594,1001010010
340,0101010100
538,1000011010
554,1000101010
45,0000101101
417,0110100001
353,0101100001
232,0011101000
418,0110100010
834,1101000010
105,0001101001
184,0010111000
526,1000001110
71,0001000111
708,1011000100
325,0101000101
658,1010010010
15,0000001111
209,0011010001
85,0001010101
163,0010100011
712,1011001000
39,0000100111
78,0001001110
720,1011010000
778,1100001010
480,0111100000
293,0100100101
393,0110001001
564,1000110100
771,1100000011
360,0101101000
198,0011000110
102,0001100110
354,0101100010
282,0100011010
278,0100010110
166,0010100110
83,0001010011
898,1110000010
424,0110101000
664,1010011000
298,0100101010
390,0110000110
531,1000010011
308,0100110100
705,1011000001
452,0111000100
135,0010000111
833,1101000001
150,0010010110
197,0011000101
912,1110010000
773,1100000101
169,0010101001
141,0010001101
706,1011000010
792,1100011000
408,0110011000
588,1001001100
277,0100010101
323,0101000011
562,1000110010
153,0010011001
294,0100100110
840,1101001000
58,0000111010
785,1100010001
177,0010110001
649,1010001001
402,0110010010
556,1000101100
263,0100000111
338,0101010010
281,0100011001
228,0011100100
456,0111001000
202,0011001010
802,1100100010
326,0101000110
154,0010011010
330,0101001010
540,1000011100
90,0001011010
284,0100011100
674,1010100010
864,1101100000
561,1000110001
624,1001110000
900,1110000100
547,1000100011
389,0110000101
46,0000101110
780,1100001100
680,1010101000
170,0010101010
582,1001000110
450,0111000010
344,0101011000
519,1000000111
596,1001010100
645,1010000101
928,1110100000
101,0001100101
420,0110100100
89,0001011001
108,0001101100
114,0001110010
774,1100000110
808,1100101000
897,1110000001
646,1010000110
27,0000011011
116,0001110100
550,1000100110
537,1000011001
60,0000111100
612,1001100100
848,1101010000
329,0101001001
657,1010010001
585,1001001001
204,0011001100
394,0110001010
300,0100101100
240,0011110000
172,0010101100
449,0111000001
57,0000111001
688,1010110000
269,0100001101
156,0010011100
673,1010100001
180,0010110100
396,0110001100
593,1001010001
568,1000111000
120,0001111000
291,0100100011
401,0110010001
777,1100001001
113,0001110001
